trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,mae,mfe,long_pnl_pct,short_pnl_pct,entry_vwap,entry_rsi,entry_atr,entry_active_entry_price,entry_stop_level,entry_take_profit_level,entry_position,exit_vwap,exit_rsi,exit_atr,exit_active_entry_price,exit_stop_level,exit_take_profit_level,exit_position
35,Long,2023-05-27 19:00:00+00:00,2023-06-04 03:00:00+00:00,1825.48,1893.04,0.03700944409141704,67.55999999999999,176,long_exit_signal,0.0,0.0500525889081227,0.03700944409141704,0.0,1825.522976413378,52.42058447262838,7.055196061224874,1825.48,1814.8972059081627,,long,1890.171419438083,49.435554221182066,6.572430436594553,1893.04,1902.8986456548919,,short
36,Short,2023-06-04 03:00:00+00:00,2023-06-04 09:00:00+00:00,1893.04,1904.76,-0.0061911000295820084,-11.719999999999924,6,short_exit_signal,-0.00615300615300618,0.001041738275156412,0.0,-0.0061911000295820084,1890.171419438083,49.435554221182066,6.572430436594553,1893.04,1902.8986456548919,,short,1896.013346154623,63.18623086560535,6.307760510505371,,,,flat
37,Short,2023-06-08 11:00:00+00:00,2023-06-08 12:00:00+00:00,1842.75,1844.81,-0.0011178944512277855,-2.060000000000002,1,short_exit_signal,-0.00111664615868301,0.0,0.0,-0.0011178944512277855,1838.1681969603678,49.253872590147225,9.19545536311631,1842.75,1856.5431830446744,,short,1839.876600177252,51.13344647836912,9.763637122893723,,,,flat
38,Short,2023-06-08 16:00:00+00:00,2023-06-16 12:00:00+00:00,1844.99,1666.55,0.09671597136027843,178.4400000000001,188,short_exit_signal,-0.0038173709275076684,0.12806167993445583,0.0,0.09671597136027843,1843.762025119663,49.66164048407416,10.794503849098474,1844.99,1861.1817557736476,,short,1667.5296391331283,50.42051790793684,7.874895699556324,1666.55,1654.7376564506656,,long
39,Long,2023-06-16 12:00:00+00:00,2023-06-16 14:00:00+00:00,1666.55,1670.68,0.002478173472143075,4.130000000000042,2,long_exit_signal,-0.0023761663316432813,0.002478173472143075,0.002478173472143075,0.0,1667.5296391331283,50.42051790793684,7.874895699556324,1666.55,1654.7376564506656,,long,1666.5532424499627,54.71617388007698,9.870088638903162,,,,flat
40,Long,2023-06-20 07:00:00+00:00,2023-06-20 14:00:00+00:00,1729.11,1719.26,-0.0056965722250174045,-9.849999999999843,7,long_exit_signal,-0.0056965722250174045,0.002671894789805229,-0.0056965722250174045,0.0,1733.6658205409794,50.49001185316626,9.763685895925612,1729.11,1714.4644711561116,,long,1729.4991982110525,41.61253409850063,9.411045834442126,,,,flat
41,Long,2023-06-22 17:00:00+00:00,2023-06-23 02:00:00+00:00,1889.38,1878.35,-0.0058378939122888385,-11.030000000000287,9,long_exit_signal,-0.010421408080957817,0.0,-0.0058378939122888385,0.0,1898.7546389375061,54.02091728660305,16.414225006661418,1889.38,1864.758662490008,,long,1874.586952333186,49.13615154697432,13.797893356849109,,,,flat
42,Short,2023-06-23 06:00:00+00:00,2023-06-23 15:00:00+00:00,1879.64,1916.53,-0.019626098614628162,-36.88999999999968,9,short_exit_signal,-0.019248329011285925,0.004349452310980606,0.0,-0.019626098614628162,1877.4425446290295,49.72870825223173,11.966239123411285,1879.64,1897.589358685117,,short,1887.168695611773,69.68908957360397,14.452893555430096,,,,flat
43,Long,2023-06-23 22:00:00+00:00,2023-06-24 11:00:00+00:00,1890.0,1889.5,-0.0002645502645503006,-0.5000000000000682,13,long_exit_signal,-0.00474603174603172,0.002693121693121636,-0.0002645502645503006,0.0,1896.6841155733553,50.00452597679626,17.404632483159812,1890.0,1863.8930512752602,,long,1888.4057735911297,49.94362682425193,10.866658891447546,1889.5,1905.7999883371713,,short
44,Short,2023-06-24 11:00:00+00:00,2023-06-25 04:00:00+00:00,1889.5,1906.06,-0.00876422333950777,-16.55999999999993,17,short_exit_signal,-0.008688079074110955,0.009175781917621029,0.0,-0.00876422333950777,1888.4057735911297,49.94362682425193,10.866658891447546,1889.5,1905.7999883371713,,short,1891.2381590831624,63.97272515975001,11.666676788833232,,,,flat
