time,open,high,low,close,EMA,LUCID Connector,Internal Higher High,Internal Lower High,Internal Lower Low,Internal Higher Low,Premium Bottom,Equilibrium Top,Equilibrium Bottom,Discount Top,Liquidity Grabs (Open),Liquidity Grabs (High,Liquidity Grabs (Low),Liquidity Grabs (Close),Custom Alert Condition Highlighter,Alert Scripting Condition Highlighter,@valuewhen,LUCID Connector,HyperWave,HWO Up,Oversold HWO Up,HWO Down,Overbought HWO Down,Reversal Up +,Reversal Up -,Reversal Down +,Reversal Down -,Money Flow,Bullish Overflow,Bearish Overflow,Upper Money Flow Threshold,Lower Money Flow Threshold,Upper Confluence Value,Lower Confluence Value,Upper Confluence Zone,Lower Confluence Zone,Confluence Meter Value,Custom Alert Condition Highlighter,Alert Scripting Condition Highlighter,@valuewhen,ATR,Histogram,MACD,Signal
1752537600,119848.7,119950,115726.7,117752.7,102658.38225420695,163842,NaN,NaN,NaN,115726.7,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,279052290,91.19684210213637,NaN,NaN,NaN,92.84595528017086,NaN,NaN,NaN,NaN,58.936618820306954,50,50,59.997003610811014,46.13361356050711,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,2956.1095340328816,986.8768886798503,3304.7522953307634,2317.875406650913
1752624000,117752.6,120069.3,117018.2,118629.7,102941.06044439798,8194,NaN,NaN,NaN,NaN,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10616834,85.60999064332337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.21830855414046,50,50,59.99311013552766,46.19903703547527,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,2962.894567316248,850.8419424446301,3381.427834706701,2530.585892262071
1752710400,118629.7,120941.8,117444,119178,103228.43990555908,2050,NaN,120941.8,NaN,NaN,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10657794,83.0704576357162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.365499067229685,50.365499067229685,50,60.06758792186806,46.26986934563404,2,0,105,-5,64.28571428571429,NaN,NaN,NaN,3001.1020982222303,732.8956895444403,3446.7055041926214,2713.809814648181
1752796800,119178,120822.7,116811,117934,103488.71530546069,2,NaN,NaN,NaN,NaN,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2236418,79.21412835441569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.16469635119381,50.16469635119381,50,60.08700960773321,46.33934348066184,2,0,105,-5,64.28571428571429,NaN,NaN,NaN,3073.287662634928,516.4192002779669,3359.33381499564,2842.914614717673
1752883200,117934.1,118492,117267.9,117838.2,103742.688485895,2,NaN,NaN,NaN,NaN,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,72.21594475240443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.04552252650512,50,50,60.08680217232707,46.407874375891055,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,2941.2028295895766,321.6323407599175,3244.95504066757,2923.3226999076523
1752969600,117838.3,118865.9,116462,117260.1,103981.9347073836,2,NaN,NaN,NaN,NaN,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,65.55672137753243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.99923209629224,50,50,60.08136432194689,46.47083116449306,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,2902.8240560474633,119.13884559279995,3072.246256898652,2953.107411305852
1753056000,117260.1,119669,116520,117378.1,104219.03497804937,2,NaN,NaN,NaN,NaN,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,59.65917899588818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.295288955336744,50,50,60.07243394511384,46.529953453447284,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,2920.408052044073,-33.4180416204581,2911.3348592802795,2944.7529009007376
1753142400,117378.1,120249.3,116116,119954.9,104497.54586339364,2,NaN,NaN,NaN,NaN,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,62.19851817800057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.7907532073637,50,50,60.06602554142509,46.591257452216865,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,3007.0431911837827,10.312691986423943,2957.6437658837676,2947.3310738973437
1753228800,119955,120080,117313.6,118757.9,104749.94151182915,8194,NaN,NaN,NaN,NaN,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2149711874,66.37087860186637,62.742858591918356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.154648371483084,50,50,60.05646865557538,46.6490744068132,2,0,105,-5,71.42857142857143,NaN,NaN,NaN,2989.854391813512,-66.07833814322248,2864.7331512183155,2930.811489361538
1753315200,118757.9,119500,117072,118341.8,104990.50537887642,8706,NaN,NaN,NaN,NaN,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1075970050,62.64085098243142,NaN,NaN,63.736749254099436,NaN,NaN,NaN,NaN,NaN,57.72820581899179,50,50,60.04482734139246,46.70447006387409,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,2949.7219352554043,-163.76899903394178,2726.1002405691106,2889.8692396030524
