time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume,Basis,Upper,Lower,Up Trend,Down Trend,EMA,EMA,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Upper,Average,Lower,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,Plot,Plot,ATR,Plot,K,D,%R
2025-02-11,97379.2,98482.2,94814.3,95731.4,96342.63333333335,96342.63333333335,96342.63333333335,154832.904,100136.52999999998,106668.95002602406,93604.10997397591,92315.47774702733,NaN,84135.20882759635,98256.19101832119,96793.15,100565.15,86184.7,97346.5,98637.9,115979.7127290909,107141.54891735013,98303.38510560936,NaN,98482.2,94814.3,95731.4,41.21357421339244,46.60345138671856,NaN,NaN,NaN,NaN,-651.3574639018673,-1078.7220852167084,-427.3646213148411,30.033877948001543,35.125361462691814,4088.0024335111675,-10.979194753648725,5.722935476993984,3.837566040923443,-69.96612205199845
2025-02-12,95731.4,98090.9,94003.9,97816.3,96637.03333333331,96637.03471440125,96637.03195226537,202448.079,99834.13999999998,106206.30528172402,93461.97471827595,92315.47774702733,NaN,84271.33908801827,98238.94039015174,97866.6,100565.15,80688.8,97346.5,98637.9,116137.53708287199,107299.37327113122,98461.20945939045,NaN,98090.9,94003.9,97816.3,47.16852323995362,45.906350185481145,NaN,NaN,NaN,NaN,-461.62938198612915,-1004.4013487975026,-542.7719668113734,43.64315228104989,38.15566449299484,4087.9308311175128,-3.45478252757843,16.91164082139216,9.452503925126711,-56.35684771895011
2025-02-13,97816.3,98053.8,95160.1,96560.6,96591.5,96591.5,96591.5,142240.526,99421.76499999998,105514.33711899114,93329.19288100883,92315.47774702733,NaN,84393.62029112257,98173.12311994971,97058.15,100565.15,78567.8,97679.5,98637.9,116295.36143665308,107457.19762491231,98619.03381317154,NaN,98053.8,95160.1,96560.6,44.26046994421377,44.86429841017765,NaN,NaN,NaN,NaN,-393.6996129154561,-1034.8964829556935,-641.1968700402374,36.51923038124511,36.73208687009885,4002.628628894833,-4.912182314809908,19.956515119409147,14.197030472598433,-63.48076961875489
2025-02-14,96560.6,98792.8,96225.7,97445.1,97487.86666666665,97487.86666666665,97487.86666666665,144452.957,99058.91999999998,104697.89806542978,93419.94193457019,92315.47774702733,NaN,84523.48576086265,98144.57319367718,97058.15,100565.15,82896,99454.5,99454.5,116453.18579043417,107615.0219786934,98776.85816695263,NaN,98792.8,96225.7,97445.1,46.75081580826498,44.426057691203404,NaN,NaN,NaN,NaN,-268.1917722963133,-976.436585410629,-708.2448131143158,54.41635213622191,44.8595782661723,3900.09086968806,-5.267086749365929,39.21132727682784,25.359827739209717,-45.58364786377809
2025-02-15,97445.2,97941.2,97170,97538,97549.73333333334,97549.73333333334,97549.73333333334,47418.593,98807.81499999999,104244.43582447336,93371.19417552662,92315.47774702733,NaN,84652.98341498342,98120.7860096114,97058.15,99185.95000000001,83640.7,99454.5,99454.5,116611.01014421527,107772.8463324745,98934.68252073372,NaN,97941.2,97170,97538,47.01856160950519,44.30085258147834,NaN,NaN,NaN,NaN,-163.08123967971312,-912.0963627139572,-749.0151230342441,56.57663543975205,49.17073931907303,3676.5986647103414,-16.294915256874766,48.14164722705369,35.76982987443022,-43.42336456024794
2025-02-16,97538,97665.8,96002,96067,96578.26666666666,96578.26666666666,96578.26666666666,56684.873,98510.09999999999,103861.68157071262,93158.51842928736,92315.47774702733,NaN,84766.55571931195,98040.2453817835,96398.35,99103.4,81085.4,100803.6,99454.5,116768.83449799636,107930.67068625559,99092.50687451482,NaN,97665.8,96002,96067,43.30548224709553,44.33463540963232,NaN,NaN,NaN,NaN,-175.69816167552585,-968.6378251286515,-792.9396634531256,43.58847576750222,51.52715444782539,3532.8273315167457,-22.320511781744003,46.71491761293699,44.68929737227284,-56.41152423249778
2025-02-17,96067,97000,95150.6,95743.2,95964.59999999998,95964.60138106791,95964.59861893204,105576.986,98233.27999999998,103555.87608935352,92910.68391064645,92315.47774702733,NaN,84875.77606041332,97950.16517073318,96398.35,99103.4,83939.8,101339.8,99454.5,116926.65885177745,108088.49504003668,99250.33122829591,NaN,97000,95150.6,95743.2,42.509686435041935,43.74250765193829,NaN,NaN,NaN,NaN,-187.83089598093954,-1027.7282834293,-839.8973874483605,22.514044580215923,40.893051929156734,3412.582522122692,-17.764557138584088,34.71520378279966,43.19058954093011,-77.48595541978408
2025-02-18,95743.1,96737.3,93321.6,95622,95226.96666666667,95226.96666666667,95226.96666666667,179173.362,97829.46999999999,102632.43425058441,93026.50574941556,92315.47774702733,NaN,84982.70366180224,97858.86457580246,96057.20000000001,99103.4,84302.9,101550.65,99454.5,117084.48320555854,108246.31939381777,99408.155582077,NaN,96737.3,93321.6,95622,42.197113069856364,43.596405644506035,NaN,NaN,NaN,NaN,-185.66656954591406,-1071.9805993807531,-886.3140298348391,33.87524297579075,33.3259211078363,3412.805199113928,-4.308741882431424,20.03479366702153,33.82163835425273,-66.12475702420925
2025-02-19,95622,96878.7,95012.5,96598,96163.06666666665,96163.06861979165,96163.06471354165,124996.873,97425.525,101078.14371696091,93772.90628303908,92315.47774702733,NaN,85098.27874974451,97809.41890616315,96057.20000000001,98790.15,82541.6,102102.5,99454.5,117242.30755933964,108404.14374759886,99565.9799358581,NaN,96878.7,95012.5,96598,45.66207898117205,43.83349352279123,NaN,NaN,NaN,NaN,-104.2106675777627,-1016.5773643070424,-912.3666967292797,48.24762914531425,34.878972233773645,3302.333399177219,-3.7249468780281916,37.6614242253688,30.803807225063327,-51.75237085468576
2025-02-20,96597.9,98662.1,96366,98252.9,97760.33333333333,97760.33333333333,97760.33333333333,129180.172,97219.185,100117.36694754737,94321.00305245262,92315.47774702733,NaN,85229.1705034784,97826.81032160773,96057.20000000001,98790.15,83962.9,102102.5,99454.5,117400.13191312073,108561.96810137996,99723.80428963919,NaN,98662.1,96366,98252.9,51.02309823574301,44.45811098130398,NaN,NaN,NaN,NaN,66.23693397767966,-829.5705292571802,-895.8074632348598,72.61736466984739,51.58007893031746,3230.4595849502753,-2.679102499332377,63.739659231420774,40.478625707937034,-27.382635330152606
